flow	speed	occupancy	probability
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	131.2	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	109	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	158	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	124.6	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	145.7	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	168.1	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	140.8	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	134.3	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	137.7	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	143.7	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	161.4	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	175.1	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	152.4	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
0	144	0	0
